Repository	License	# days before event	Average commits before event	Average commits during event	Average after event
UniBioDicts/ vsm-pubdictionaries	### GNU AFFERO GENERAL PUBLIC LICENSE	135	0.03	3.4	0.28
cbg-ethz/ V-pipe	Apache License	1309	0.13	1.6	0.06
ds-wizard/ h2020-dmp-template	Apache License	-1	0	0.4	0.02
zbmed-semtec/ BioHackOutcomes	Apache License	5	0.2	3.2	0.01
biohackrxiv/ bhxiv-metadata	GNU AFFERO GENERAL PUBLIC LICENSE	-2	0	3.8	2.67
babelomics/ MechACov	GNU GENERAL PUBLIC LICENSE	26	0.12	20.6	0.2
elixir-luxembourg/ BH2020-galaxy-dpmaps	GNU GENERAL PUBLIC LICENSE	0		5.8	
danielabutano/ intermine-R2RML-mapping	GNU LESSER GENERAL PUBLIC LICENSE	7	0.71	9.2	0.07
collaborativebioinformatics/GrOMOP	MIT License	0		19.2	
JervenBolleman/ rs-handlegraph-ffi	MIT License	-2	0	3.4	3
kg-subsetting/ biohackathon2020	MIT License	0		15.2	0.12
panoptes-organization/ panoptes	MIT License	364	0.13	1.6	0.15
elixir-europe/ BioHackathon-projects-2020		140	0.64	34.6	0.48
matdillen/ 33_molseq		-1	0	19.2	0.6
NuriaQueralt/ covid19-epidemiology-ontology		0		0.4	0.43
yocra3/ epimutacions	YEAR: 2020	13	0.54	24.8	
Identified after final presentations					
HW-SWeL/ BMUSE	Apache License	580	0.39	1.8	0.18
edamontology/ edamontology	Attribution-ShareAlike 4.0 International	2336	0.41	0.2	0.22
intermine/ intermine-R2RML-mapping	GNU LESSER GENERAL PUBLIC LICENSE	-4	1.25	9.2	0.06
BioSchemas/ bioschemas.github.io		1721	1.38	0.2	1.47
BioSchemas/ specifications		1841	0.25	0.4	0.24
bio-tools/ biotoolsConnect		1740	0.05	1.4	0.01
bio-tools/ content		654	0.56	8.2	0.66
ResearchObject/ ro-crate-py		385	0.71	3	0.6
