Column1	Column2	Column3	Column4
Year	2018	2019	2020
Format	Physical event	Physical event	Virtual event
Location or platform	Seine Port, France	Seine Port, France	Zoom, Remo, Slack
Attendee number	147	149	297
Proportion female attendees (based on registration)	19%	18%	31%
Number of hacking projects	29 ([list](https://2018.biohackathon-europe.org/index.html#landing-processprop))	33 ([list](https://2019.biohackathon-europe.org/projects))	41 ([list](https://2020.biohackathon-europe.org/projects))
Hacking days	5	5	5
Response rate to the post-event survey	44% (65 responses)	75% (112 responses)	48% (144 responses)
Overall satisfaction level (“Would you recommend this event to a colleague?”)	95% (yes)	99% (yes)	100% (yes)
Overall usefulness of the event (“Has the BioHackathon advanced the outcomes of projects you have been involved with?”)	100% (yes)	87% (yes)	98% (yes)
