Repository	License	Active days before event	Average commits before event	Average commits during  event
cbg-ethz/ V-pipe	Apache License	1309	0.13	0.00
ds-wizard/ h2020-dmp-template	Apache License	-1	0.00	0.40
zbmed/ BioHackOutcomes	Apache License	5	0.20	2.60
biohackrxiv/ bhxiv-metadata	GNU AFFERO GENERAL PUBLIC LICENSE	-2	0.00	2.00
babelomics/ MechACov	GNU GENERAL PUBLIC LICENSE	26	0.12	1.20
elixir-luxembourg/ BH2020-galaxy-dpmaps	GNU GENERAL PUBLIC LICENSE	0	0.00	4.40
danielabutano/ intermine-R2RML-mapping	GNU LESSER GENERAL PUBLIC LICENSE	7	0.71	8.60
collaborativebioinformatics/			0.00	0.00
GrOMOP	MIT License	0	0.00	11.20
JervenBolleman/ rs-handlegraph-ffi	MIT License	-2	0.00	2.40
kg-subsetting/ biohackathon2020	MIT License	0	0.00	13.40
panoptes-organization/ panoptes	MIT License	364	0.13	2.40
elixir-europe/ BioHackathon-projects-2020		140	0.64	29.40
matdillen/ 33_molseq		-1	0.00	7.60
NuriaQueralt/ covid19-epidemiology-ontology		0	0.00	0.40
UniBioDicts/ vsm-pubdictionaries		135	0.03	2.40
alan-turing-institute/ the-turing-way	# LICENSE	739	7.53	15.00
yocra3/ epimutacions	YEAR: 2020	13	0.54	21.00
